model,n_features,features,param,smote,feature_selection_method,fs_estimator,f2_mean,f2_std,precision_mean,recall_mean,training_time
RandomForest,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,n_estimators=100,0.1,correlation,N/A,0.15159039272963323,0.08502017239805156,0.8,0.12631578947368421,1.4708788394927979
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=3,0.2,correlation,N/A,0.8098858688921281,0.032603186196197315,0.5263326105760667,0.9368421052631579,0.14851951599121094
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=5,0.2,correlation,N/A,0.7859825929766815,0.06002596002457925,0.5173090791352084,0.9052631578947368,0.1502680778503418
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=7,0.2,correlation,N/A,0.7598903733254835,0.028341143926242148,0.5317830233985271,0.8526315789473685,0.13639354705810547
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=9,0.2,correlation,N/A,0.73232471911371,0.049205764786909294,0.5254982517482517,0.8157894736842104,0.13410496711730957
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=3,0.2,correlation,N/A,0.1464632512732218,0.03158589702498544,0.9666666666666666,0.12105263157894734,0.09609341621398926
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=5,0.2,correlation,N/A,0.21637935401311692,0.08697176169597366,0.8397619047619049,0.18421052631578946,0.08704185485839844
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=7,0.2,correlation,N/A,0.3428478320548642,0.1026866452101662,0.5530014156200115,0.3157894736842105,0.09709596633911133
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=9,0.2,correlation,N/A,0.5132486896638513,0.08987234890387316,0.6719413919413919,0.4894736842105263,0.0870659351348877
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=None,0.2,correlation,N/A,0.629031184393478,0.0695532981358967,0.5670864262990456,0.6473684210526316,0.08799481391906738
RandomForest,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,n_estimators=50,0.2,correlation,N/A,0.5847000869313242,0.06965414135355731,0.9913043478260869,0.531578947368421,0.6303865909576416
RandomForest,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,n_estimators=100,0.2,correlation,N/A,0.5806100528045913,0.05923508809890911,1.0,0.5263157894736843,1.1131291389465332
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=3,0.3,correlation,N/A,0.8578928317578891,0.017224443008580715,0.5613304225559335,0.9894736842105264,0.14792895317077637
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=5,0.3,correlation,N/A,0.8418958395182546,0.0105812517516825,0.5320128797695653,0.9859649122807017,0.14684605598449707
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=7,0.3,correlation,N/A,0.8329036392577958,0.007914278293679682,0.5303352993401158,0.9719298245614034,0.1506483554840088
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=9,0.3,correlation,N/A,0.8222631037705297,0.018742227297371027,0.5297507609111728,0.9543859649122807,0.13654685020446777
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=3,0.3,correlation,N/A,0.14043155658078063,0.033701495056482206,1.0,0.11578947368421053,0.08509659767150879
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=5,0.3,correlation,N/A,0.2593892417844024,0.08073169335485271,0.9216678058783323,0.22105263157894733,0.08799457550048828
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=7,0.3,correlation,N/A,0.5683211864630764,0.11462144884094139,0.6974952096566853,0.5543859649122808,0.0872809886932373
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=9,0.3,correlation,N/A,0.6729445839997552,0.10376424873498045,0.7307468339448456,0.6666666666666667,0.09238600730895996
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=None,0.3,correlation,N/A,0.7312941183575798,0.02417983140787672,0.6994724073436651,0.7403508771929824,0.09744691848754883
RandomForest,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,n_estimators=50,0.3,correlation,N/A,0.7840318936209262,0.0252117339314834,0.9779245947850599,0.7473684210526316,0.680020809173584
RandomForest,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,n_estimators=100,0.3,correlation,N/A,0.8094338146839775,0.01685487755621107,0.9826767676767677,0.775438596491228,1.1562466621398926
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=3,0.4,correlation,N/A,0.8688967898081053,0.018942225017230297,0.5894772962092908,0.9868421052631579,0.1541454792022705
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=5,0.4,correlation,N/A,0.8574104061919418,0.017972503144304052,0.5603750415420233,0.9894736842105264,0.15819215774536133
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=7,0.4,correlation,N/A,0.8499159145434906,0.015616591348768277,0.5438816980787013,0.9894736842105264,0.14406251907348633
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=9,0.4,correlation,N/A,0.8446252009223931,0.01709805422763672,0.5334024006252346,0.9894736842105264,0.1419374942779541
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=3,0.4,correlation,N/A,0.2983582446801197,0.24043234158057783,0.9099999999999999,0.29210526315789476,0.08824992179870605
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=5,0.4,correlation,N/A,0.641384060888575,0.11762686376411993,0.6666002534668909,0.6578947368421053,0.08996105194091797
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=7,0.4,correlation,N/A,0.7314253902560137,0.08223866425992112,0.7394383841091159,0.7368421052631579,0.09595608711242676
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=9,0.4,correlation,N/A,0.7780258001881484,0.0566528875043764,0.7692019427996439,0.7842105263157895,0.09810233116149902
